,review,negative,positive
0,"Un excellent thriller d'action où les scènes de bravoure croisent avec des effets pyrotechniques sensationnels. Une course contre la montre haletante avec un rythme frénétique, impossible à ramasser!",0,1
1,"Si le scénariste, qui aurait pu faire un minimum de recherches pour empêcher son film d'être rempli d'erreurs historiques, voulait provoquer le frisson, il est manqué. Certaines scènes même sourient tellement qu'elles sont manquées. S'il y a de bonnes idées, elles sont mal utilisées. De plus, l'actrice principale n'est pas crédible et surjoyée autant que possible. D'autre part, ce film ne vise pas à conseiller les personnes souffrant de claustrophobie. Peut-être le seul intérêt du film est de donner le désir de (re)visiter les ""catacombes"" de Paris.",1,0
2,"Une référence dans la filmographie de Bogart, ""The Violent"" est néanmoins décevante par l'utilisation de personnages inintéressants qui évoluent dans un scénario plat sans grand rebondissement. Nous offrant une histoire à première vue semblable à un petit Hitchcock, Nicholas Ray se laisse attirer dans une histoire de cœur banale dont la seule originalité est le caractère plutôt imprévisible de Dix interprété par Humphrey Bogart. Heureusement, il y a quelques qualités à essayer d'éliminer toute la poussière qui couvre les rouleaux de ce film classique aujourd'hui. En plus d'une mise en scène plus que correcte, ""The Violent"" révèle des courses de voitures impressionnantes en vue du temps ainsi qu'un jeu d'acteur de Bogart assez incroyable. Malheureusement, ces qualités de formes ne peuvent pas rattraper avec les faiblesses de fond gargantuanes qui perdent le spectateur dans la fatigue et la souffrance de la tradition.",1,0
3,"Un bon scénario, un bon film, une histoire folle et sombre, de très grandes et bonnes jeunes actrices.",0,1
4,Un scénario vide et une étape très soporifique. La fille de Gerard Oury a eu du mal à gagner cette fois.,1,0
5,"Un échec dans tous les compartiments : Scénario sans maîtrise et sans rythme avec trop de gens en même temps et des confusions en série, réalisation paresseuse, trop de dialogues écrits qui mènent à une direction d'acteurs catastrophiques avec des blancs entre les répliques. Pour sauver éventuellement le sourire de Valeria Bruni-Tedeschi et la présence sulfureuse de la belle Caterina Murino. Saviez-vous que Pascal Bonitzer était un professeur de scénario au Femis?",1,0
6,"Pas de suspense, pas d'anxiété, pas de choc ou de gore, pas de clichés non plus... Eh bien, il y en a beaucoup... un film qui n'était ni à faire ni à faire et ne sera jamais, j'espère, à refaire.",1,0
7,"L'innocence et la poésie résument magnifiquement ce film. ""Pour le voir, il faut d'abord le croire.""",0,1
8,Ce film sent très mauvais.,1,0
9,"Ce second Kickboxer n'est pas un grand succès. Réalisé par Albert Pyun insignifiant, des acteurs comme Sasha Mitchell, Peter Boyle et Dennis Chan très mauvais dans leurs rôles, écran plat et film sans aucun intérêt.",1,0
