,review,negative,positive
0,"Un excellent thriller d'action où les scènes de valeur se croisent avec des effets pyrotechniques sensationnels. Une course contre l'horloge avec un rythme effréné, impossible à répondre!",0,1
1,"Si le scénariste, qui aurait pu faire un minimum de recherche pour éviter que son film ne soit rempli d'erreurs historiques, voulait provoquer l'agitation, c'est un échec. Certaines scènes font sourire si mal. S'il y a de bonnes idées, elles sont mal exploitées. En outre, l'actrice principale n'est pas crédible et surjouée autant que possible. Au lieu de cela, ce film est dissuasif aux personnes souffrant de claustrophobie. Peut-être le seul intérêt du film est de donner envie (re) de visiter les "" catacombes "" de Paris.",1,0
2,"Référence dans le film de Bogart, ""Le Violent"" ne cesse d'être décevante par l'utilisation de personnages peu intéressants qui évoluent dans un scénario plat sans grand rebond. Il nous offre une histoire à première vue semblable à un petit Hitchcock, Nicholas Ray se fait glisser dans une banale histoire de cœur dont l'unique originalité est le caractère assez imprévisible de Dix interprété par Humphrey Bogart. Heureusement il ya quelques qualités pour essayer de libérer toute la poussière qui couvre aujourd'hui les bobines de ce classique du cinéma. En plus d'une mise en scène plus que correcte, ""Le Violent"" révèle des courses en voiture impressionnantes avec vue sur l'époque, ainsi qu'un jeu d'acteur de Bogart très bien incroyable. Malheureusement, ces qualités de formes ne peuvent pas récupérer des faiblesses de fond gargantueuses qui perdent le spectateur dans la fatigue et la souffrance de la conventionalité.",1,0
3,"Un bon script, un bon film, une histoire folle et sombre, très grandes et de bonnes actrices jeunes.",0,1
4,"Un scénario vide et un scénario très soporifique, la fille de Gerard Ory a du mal à s'imposer cette fois.",1,0
5,"Un échec dans tous les compartiments: Scénario sans aucun contrôle et sans rythme avec trop de monde à la fois et confusions en série, réalisation paresseuse, dialogues trop écrits ce qui conduit à une direction d'acteurs catastrophiques avec des blancs parmi les répliques. Pour finalement sauver le sourire de Valeria Bruni-Tedeschi et la présence sulfureuse de la belle Caterina Murino. Saviez-vous que Pascal Bonitzer était professeur de scénario à la Femis?",1,0
6,"Il n'y a pas de crocs, pas d'angoisse, pas de sursauts, pas de Gore, pas de clichés... si, ça, il y a beaucoup... un film qui n'était même pas à faire et qui ne sera jamais, je l'espère, que je le referai.",1,0
7,"L'innocence et la poésie résument merveilleusement ce film. ""Pour la voir, il faut d'abord le croire.""",0,1
8,Ce film sent vraiment mauvais.,1,0
9,"Ce second Kickboxer n'est pas un grand succès. Scène d'Albert Pyun insignifiant, des acteurs comme Sasha Mitchell, Peter Boyle et Dennis Chan très mauvais dans leurs rôles, scène plane et film sans aucun intérêt.",1,0
10,"Une vraie étude de caractères... on voit le point de vue de chacun sans jamais le jeter dans le manichéisme... une bonne histoire, de bons acteurs...",0,1
